Policy_ID,Applicant_Age,Gender,Marital_Status,Vehicle_Year,Vehicle_Make,Vehicle_Model,Annual_Mileage,Years_Driving_Exp,At_Fault_Accidents_5yr,Speeding_Tickets_3yr,DUI,Credit_Score,Coverage_Type,Prior_Insurance_Carrier,Claim_Amount_Last_Year,State
AUTO-1002,23,M,Married,2016,Jeep,Wrangler,21390,6,2,3,TRUE,729,COMP,Nationwide,1200,TX
AUTO-1003,66,M,Widowed,2010,Ford,F-150,10055,48,0,0,N,399,Collision,USAA,1200,CA
AUTO-1004,64,FEMALE,Single,2012,Toyta,Corolla,23599,44,0,2,Y,371,Comprehensive,Allstate,1200,NY
AUTO-1005,72,M,Single,2012,Ford,Focus,23830,54,0,1,No,,LIAB,Farmers,0,MD
AUTO-1007,35,Male,Married,2018,Frod,F-150,24477,16,1,3,N,446,Collision,Progressive,500,IN
AUTO-1008,52,male,Widowed,2018,Chevrolet,Malibu,10186,35,1,1,Yes,348,Comprehensive,Progressive,0,VA
AUTO-1009,56,Male,Widowed,2012,Jeep,Grand Cherokee,20338,38,1,0,Yes,849,Collision,USAA,0,MI
AUTO-1010,45,M,Widowed,2000,Ford,Escape,8854,25,0,3,No,819,Liability,Allstate,0,AZ
AUTO-1011,66,M,Single,2019,Frod,Focus,3638,50,0,1,Y,359,COMP,American Family,0,NY
AUTO-1012,64,FEMALE,Single,2024,,3 Series,7207,45,1,0,No,840,Liability,Liberty Mutual,500,IN
AUTO-1013,66,fe,Married,2022,Ford,Focus,24295,48,1,2,N,423,COMP,Allstate,0,WA
AUTO-1014,19,F,Married,2018, Honnda,Civic,5326,3,0,0,Yes,638,Comprehensive,Travelers,500,NC
AUTO-1015,60,FEMALE,Married,2017,Honda,CR-V,21711,40,1,0,N,716,COMP,Geico,0,VA
AUTO-1016,40,FEMALE,Widowed,2014,Toyota,RAV4,24412,24,0,1,No,411,COMP,Allstate,500,IN
AUTO-1017,46,M,Widowed,2005,Ford,Focus,11185,30,1,2,Yes,351,LIAB,Travelers,0,NY
AUTO-1018,66,M,Married,2013,Nissan,Sentra,10004,47,0,0,N,302,COLL,Farmers,15000,MI
AUTO-1019,45,fe,Widowed,2004,Honnda,Accord,10133,29,1,3,TRUE,362,LIAB,USAA,0,CA
AUTO-1020,55,FEMALE,Married,2001,BMW,3 Series,9089,39,1,0,Y,713,Comprehensive,American Family,500,MO
AUTO-1021,56,Male,Single,2013,Jeep,Grand Cherokee,11544,39,2,3,No,544,Collision,Liberty Mutual,0,MI
AUTO-1022,47,male,Single,2000,Nissan,Rogue,21448,31,0,2,Y,818,Collision,Progressive,3000,NY
AUTO-1023,74,M,Divorced,2009,Honda,Accord,20800,56,1,3,TRUE,308,LIAB,Travelers,1200,FL
AUTO-1024,74,M,Divorced,2003,Toyta,Camry,11924,56,1,0,No,508,LIAB,Farmers,15000,NC
AUTO-1025,75,Male,Single,2020,Chevrolet,Malibu,4444,59,0,0,No,465,LIAB,Nationwide,7500,IN
AUTO-1026,18,Male,Single,2022,Honda,CR-V,4180,0,1,2,Y,740,COMP,State Farm,1200,AZ
AUTO-1027,75,Male,Divorced,2006,Honnda,Civic,14589,55,1,2,Y,542,COMP,Progressive,7500,TX
AUTO-1028,29,fe,Divorced,2013, Honnda,Accord,8216,13,1,0,N,527,COMP,Nationwide,3000,MI
AUTO-1029,70,M,Married,2000,Honnda,Accord,13756,52,0,1,No,821,COLL,Travelers,3000,TX
AUTO-1030,25,male,Married,2018,Ford,F-150,6552,5,1,1,No,746,Liability,Travelers,0,CO
AUTO-1031,75,F,Married,2008,Toyota,RAV4,17288,59,1,2,Y,672,COLL,Geico,3000,MD
AUTO-1032,38,fe,Single,2023,Ford,Escape,13134,19,0,1,No,430,COMP,Liberty Mutual,7500,PA
AUTO-1033,57,F,Divorced,2012,BMW,3 Series,-1500,39,0,1,TRUE,629,COLL,Nationwide,15000,IL
AUTO-1034,50,FEMALE,Married,2021,Toyta,Corolla,19890,30,0,0,Y,617,COMP,Allstate,0,TX
AUTO-1035,20,M,Widowed,2019,Toyta,Corolla,16580,0,0,3,N,806,COLL,Allstate,0,TX
AUTO-1036,75,Male,Widowed,2007,Honda,CR-V,19972,56,0,2,Y,424,COLL,Progressive,15000,MA
